,accuracy,loss,val_accuracy,val_loss
0,0.7077673077583313,0.9462231397628784,0.825499415397644,0.555799126625061
1,0.8410245776176453,0.4818263053894043,0.8437132835388184,0.49565184116363525
2,0.8747277855873108,0.379276305437088,0.8454759120941162,0.47586309909820557
3,0.8933941721916199,0.3209042251110077,0.8490011692047119,0.4550016224384308
4,0.9067717790603638,0.27814096212387085,0.8519389033317566,0.4605283737182617
5,0.9212900400161743,0.24383367598056793,0.8507637977600098,0.453409343957901
6,0.9293788075447083,0.21986600756645203,0.8642773032188416,0.443010151386261
7,0.937363862991333,0.19822867214679718,0.8566392660140991,0.4565075635910034
8,0.9431712031364441,0.18332089483737946,0.8560516834259033,0.45028650760650635
9,0.9456600546836853,0.16988591849803925,0.8619271516799927,0.45266613364219666
10,0.9538525342941284,0.15441638231277466,0.8648648858070374,0.45335355401039124
11,0.956548810005188,0.14345964789390564,0.8619271516799927,0.4518554210662842
