,accuracy,loss,val_accuracy,val_loss
0,0.1068132296204567,2.3009989261627197,0.10282021015882492,2.290717363357544
1,0.12371668219566345,2.220527410507202,0.17685076594352722,2.201930284500122
2,0.16602717339992523,2.1383628845214844,0.20564042031764984,2.15962815284729
3,0.19599708914756775,2.071876287460327,0.19858989119529724,2.0621120929718018
4,0.22026340663433075,2.0098066329956055,0.2638072967529297,1.9728347063064575
5,0.26122575998306274,1.947190284729004,0.2955346703529358,1.9035011529922485
6,0.2876698076725006,1.9047138690948486,0.3454759120941162,1.8365893363952637
7,0.323447048664093,1.8396517038345337,0.3766157329082489,1.745258092880249
8,0.3463652431964874,1.7990633249282837,0.4048178493976593,1.695776104927063
9,0.3701130449771881,1.7599339485168457,0.4124559462070465,1.682422161102295
10,0.3767499625682831,1.7228587865829468,0.40658050775527954,1.6630549430847168
11,0.3887794315814972,1.6921025514602661,0.42420682311058044,1.6277706623077393
12,0.40433475375175476,1.6634773015975952,0.451233834028244,1.582177758216858
13,0.4151197671890259,1.6482526063919067,0.4441833198070526,1.5792216062545776
14,0.43243804574012756,1.6030408143997192,0.48707401752471924,1.5008556842803955
15,0.43710464239120483,1.5784313678741455,0.5023501515388489,1.4567302465438843
16,0.45867469906806946,1.5430669784545898,0.49529963731765747,1.46946120262146
17,0.4660375416278839,1.5135785341262817,0.5064629912376404,1.4333378076553345
18,0.4770299792289734,1.4725642204284668,0.5411280989646912,1.3690192699432373
19,0.48366689682006836,1.4680492877960205,0.5164512395858765,1.400160312652588
20,0.5008814930915833,1.4367221593856812,0.5364277362823486,1.3656678199768066
21,0.5063776969909668,1.4238470792770386,0.5376028418540955,1.3841257095336914
22,0.5260810852050781,1.3631154298782349,0.554641604423523,1.337141513824463
23,0.5311625003814697,1.3378758430480957,0.5716803669929504,1.280016303062439
24,0.5448511838912964,1.310088872909546,0.5599294900894165,1.294907569885254
25,0.55231773853302,1.2944694757461548,0.5904817581176758,1.2386752367019653
26,0.5708804130554199,1.254973292350769,0.5904817581176758,1.2358280420303345
27,0.573265552520752,1.2289775609970093,0.5622796416282654,1.2861415147781372
28,0.5787618160247803,1.2206683158874512,0.607520580291748,1.1881476640701294
29,0.5915171504020691,1.1845821142196655,0.5969447493553162,1.2211391925811768
