,epoch,accuracy,loss,run
0,0,0.2048136293888092,2.1677255630493164,1_run_2026_02_26-23_24_48
1,1,0.2899419367313385,1.9749835729599,1_run_2026_02_26-23_24_48
2,2,0.3397639989852905,1.8480085134506226,1_run_2026_02_26-23_24_48
3,3,0.3783479928970337,1.7570518255233765,1_run_2026_02_26-23_24_48
4,4,0.40644314885139465,1.6902694702148438,1_run_2026_02_26-23_24_48
5,5,0.4301367402076721,1.629847526550293,1_run_2026_02_26-23_24_48
6,6,0.45364299416542053,1.5784944295883179,1_run_2026_02_26-23_24_48
7,7,0.47134295105934143,1.530989408493042,1_run_2026_02_26-23_24_48
8,8,0.4842667281627655,1.4890859127044678,1_run_2026_02_26-23_24_48
9,9,0.5046825408935547,1.4483903646469116,1_run_2026_02_26-23_24_48
10,10,0.5181682109832764,1.4047502279281616,1_run_2026_02_26-23_24_48
11,11,0.5280014872550964,1.3705763816833496,1_run_2026_02_26-23_24_48
12,12,0.5467315912246704,1.3275477886199951,1_run_2026_02_26-23_24_48
13,13,0.5595617294311523,1.2912901639938354,1_run_2026_02_26-23_24_48
14,14,0.5709871053695679,1.2558112144470215,1_run_2026_02_26-23_24_48
15,15,0.5831616520881653,1.2220978736877441,1_run_2026_02_26-23_24_48
16,16,0.5975838303565979,1.1902309656143188,1_run_2026_02_26-23_24_48
17,17,0.6063869595527649,1.1571953296661377,1_run_2026_02_26-23_24_48
18,18,0.617344081401825,1.1289833784103394,1_run_2026_02_26-23_24_48
19,19,0.6309233903884888,1.0921504497528076,1_run_2026_02_26-23_24_48
20,20,0.6431916356086731,1.065075159072876,1_run_2026_02_26-23_24_48
21,21,0.652931272983551,1.033787488937378,1_run_2026_02_26-23_24_48
22,22,0.6694137454032898,1.0059986114501953,1_run_2026_02_26-23_24_48
23,23,0.6697883605957031,0.9812003970146179,1_run_2026_02_26-23_24_48
24,24,0.6842105388641357,0.9538310170173645,1_run_2026_02_26-23_24_48
25,25,0.6898295283317566,0.9272359609603882,1_run_2026_02_26-23_24_48
26,26,0.7037834525108337,0.8991482853889465,1_run_2026_02_26-23_24_48
27,27,0.709027886390686,0.8763067126274109,1_run_2026_02_26-23_24_48
28,28,0.7196103930473328,0.8447975516319275,1_run_2026_02_26-23_24_48
29,29,0.7304738759994507,0.8183125257492065,1_run_2026_02_26-23_24_48
